Coin Rank,Coin Name,Coin Code,Price,1h Change,24h Change,Market Cap,Volume,Circulating Supply,Extraction Time
143,Nervos Network,CKB,$0.01358,0.74%,-5.43%,"$618,668,331","$58,787,598","45,551,549,662 CKB",2024-12-15 10:30:21
144,Kava,KAVA,$0.5566,0.75%,-4.60%,"$602,740,246","$22,535,553","1,082,853,872 KAVA",2024-12-15 10:30:21
145,Livepeer,LPT,$16.14,1.03%,-4.45%,"$590,156,145","$61,466,397","36,566,391 LPT",2024-12-15 10:30:21
146,Gigachad,GIGA,$0.06334,4.31%,-3.38%,"$589,182,076","$13,945,387","9,302,411,888 GIGA",2024-12-15 10:30:21
147,Kusama,KSM,$37.17,1.16%,-4.10%,"$589,061,446","$30,775,955","15,847,638 KSM",2024-12-15 10:30:21
148,Convex Finance,CVX,$6.05,0.57%,-12.59%,"$585,834,568","$62,318,347","96,888,831 CVX",2024-12-15 10:30:21
149,APENFT,NFT,$0.065739,0.14%,-4.91%,"$573,920,447","$34,605,399","999,990,000,000,000 NFT",2024-12-15 10:30:21
150,Safe,SAFE,$1.22,1.03%,-5.35%,"$565,897,579","$24,421,560","463,757,969 SAFE",2024-12-15 10:30:21
151,Creditcoin,CTC,$1.36,-0.19%,-1.40%,"$561,907,790","$88,288,246","412,084,779 CTC",2024-12-15 10:30:21
152,SushiSwap,SUSHI,$2.13,0.99%,-4.83%,"$560,575,943","$187,735,375","262,585,507 SUSHI",2024-12-15 10:30:21
153,DeXe,DEXE,$9.77,1.54%,-2.67%,"$557,654,777","$2,381,532","57,103,740 DEXE",2024-12-15 10:30:21
154,BOOK OF MEME,BOME,$0.008047,1.12%,-3.41%,"$554,868,840","$178,163,895","68,956,958,356 BOME",2024-12-15 10:30:21
155,ether.fi,ETHFI,$2.64,0.52%,-1.52%,"$551,939,486","$173,017,919","209,032,899 ETHFI",2024-12-15 10:30:21
156,Trust Wallet Token,TWT,$1.32,0.14%,-3.69%,"$551,604,706","$16,591,577","416,649,900 TWT",2024-12-15 10:30:21
157,Theta Fuel,TFUEL,$0.08094,1.11%,0.41%,"$548,618,726","$7,662,408","6,777,843,513 TFUEL",2024-12-15 10:30:21
158,Dash,DASH,$45.00,0.18%,-6.63%,"$542,965,253","$93,541,956","12,066,927 DASH",2024-12-15 10:30:21
159,Astar,ASTR,$0.0727,1.26%,-7.16%,"$540,131,405","$40,862,134","7,429,922,598 ASTR",2024-12-15 10:30:21
160,Holo,HOT,$0.003046,1.20%,-5.68%,"$532,232,256","$19,811,051","174,747,454,215 HOT",2024-12-15 10:30:21
161,PAX Gold,PAXG,"$2,653.41",-0.03%,-0.54%,"$526,344,703","$6,750,097","198,365 PAXG",2024-12-15 10:30:21
162,Enjin Coin,ENJ,$0.2933,0.43%,-7.02%,"$522,485,204","$38,368,939","1,781,274,084 ENJ",2024-12-15 10:30:21
163,WOO,WOO,$0.2759,1.29%,-4.79%,"$513,511,675","$19,564,621","1,861,547,795 WOO",2024-12-15 10:30:21
164,Zilliqa,ZIL,$0.02657,0.67%,-6.02%,"$512,261,732","$44,567,871","19,279,099,734 ZIL",2024-12-15 10:30:21
165,Act I : The AI Prophecy,ACT,$0.5391,0.81%,-6.03%,"$511,168,196","$321,541,018","948,246,433 ACT",2024-12-15 10:30:21
166,0x Protocol,ZRX,$0.6026,1.06%,-6.46%,"$511,230,715","$77,984,490","848,396,563 ZRX",2024-12-15 10:30:21
167,Magic Eden,ME,$3.84,1.20%,-8.49%,"$504,297,839","$399,645,068","131,246,200 ME",2024-12-15 10:30:21
168,Echelon Prime,PRIME,$13.97,0.39%,-2.54%,"$499,884,144","$10,592,942","35,773,841 PRIME",2024-12-15 10:30:21
169,GMT,GMT,$0.1909,0.95%,-4.71%,"$500,088,446","$32,017,762","2,619,469,850 GMT",2024-12-15 10:30:21
170,io.net,IO,$3.97,0.90%,-6.17%,"$498,957,741","$154,983,603","125,631,683 IO",2024-12-15 10:30:21
171,TrueUSD,TUSD,$1.00,-0.03%,0.05%,"$497,846,396","$52,662,100","495,601,553 TUSD",2024-12-15 10:30:21
172,PayPal USD,PYUSD,$0.9997,0.05%,-0.02%,"$491,307,746","$6,110,217","491,435,585 PYUSD",2024-12-15 10:30:21
173,Jito,JTO,$3.65,1.21%,-4.63%,"$480,899,912","$68,603,461","131,857,502 JTO",2024-12-15 10:30:21
174,SATS (Ordinals),SATS,$0.062252,1.81%,-3.85%,"$472,946,052","$61,821,166","2,100,000,000,000,000 SATS",2024-12-15 10:30:21
175,Harmony,ONE,$0.03223,0.91%,-5.10%,"$461,522,820","$23,049,812","14,320,120,224 ONE",2024-12-15 10:30:21
176,OriginTrail,TRAC,$1.09,0.01%,-2.27%,"$453,342,730","$4,608,824","414,995,032 TRAC",2024-12-15 10:30:21
177,Celo,CELO,$0.8081,0.88%,-5.17%,"$449,882,514","$67,762,297","556,692,051 CELO",2024-12-15 10:30:21
178,Arkham,ARKM,$1.99,0.97%,-3.69%,"$446,927,912","$74,915,756","225,100,000 ARKM",2024-12-15 10:30:21
179,Ankr,ANKR,$0.04451,0.69%,-5.13%,"$445,129,887","$17,717,339","10,000,000,000 ANKR",2024-12-15 10:30:21
180,Dymension,DYM,$2.03,2.06%,-8.93%,"$443,072,005","$529,016,978","218,691,899 DYM",2024-12-15 10:30:21
181,WEMIX,WEMIX,$1.07,0.50%,-4.23%,"$442,724,436","$2,895,067","414,482,031 WEMIX",2024-12-15 10:30:21
182,dYdX (ethDYDX),ETHDYDX,$2.05,0.66%,-4.97%,"$443,193,896","$66,102,249","216,059,764 ETHDYDX",2024-12-15 10:30:21
183,Memecoin,MEME,$0.0132,0.98%,-5.20%,"$437,585,458","$82,940,540","33,140,823,704 MEME",2024-12-15 10:30:21
184,EthereumPoW,ETHW,$4.04,0.50%,-5.51%,"$435,296,775","$21,115,289","107,818,999 ETHW",2024-12-15 10:30:21
185,IoTeX,IOTX,$0.04588,0.65%,-3.95%,"$433,137,910","$14,222,089","9,441,369,057 IOTX",2024-12-15 10:30:21
186,Aevo,AEVO,$0.4777,0.93%,-4.97%,"$430,078,062","$88,538,736","900,355,020 AEVO",2024-12-15 10:30:21
187,JUST,JST,$0.04321,0.62%,-5.66%,"$427,806,112","$39,951,857","9,900,000,000 JST",2024-12-15 10:30:21
188,Osmosis,OSMO,$0.6083,1.20%,-6.68%,"$425,498,421","$17,881,904","699,443,636 OSMO",2024-12-15 10:30:21
189,Basic Attention Token,BAT,$0.2773,1.04%,-5.42%,"$414,761,956","$21,436,611","1,495,658,357 BAT",2024-12-15 10:30:21
190,Golem,GLM,$0.413,0.71%,-4.33%,"$413,048,915","$11,214,425","1,000,000,000 GLM",2024-12-15 10:30:21
191,Qtum,QTUM,$3.91,0.74%,-4.51%,"$412,534,650","$50,237,962","105,439,885 QTUM",2024-12-15 10:30:21
192,SPACE ID,ID,$0.5119,0.76%,-4.98%,"$407,510,680","$29,466,510","796,057,181 ID",2024-12-15 10:30:21
193,Aethir,ATH,$0.07762,1.50%,-3.77%,"$405,024,736","$36,221,433","5,217,818,110 ATH",2024-12-15 10:30:21
194,ZetaChain,ZETA,$0.7006,0.66%,-5.75%,"$403,600,725","$34,378,891","576,114,583 ZETA",2024-12-15 10:30:21
195,Manta Network,MANTA,$1.04,0.81%,-7.61%,"$400,597,093","$80,463,861","384,500,457 MANTA",2024-12-15 10:30:21
196,Bitcoin Gold,BTG,$22.17,0.72%,-1.93%,"$388,231,686","$79,473,816","17,513,924 BTG",2024-12-15 10:30:21
197,Kadena,KDA,$1.29,1.55%,-4.14%,"$385,992,578","$22,213,459","298,403,242 KDA",2024-12-15 10:30:21
