Coin Rank,Coin Name,Coin Code,Price,1h Change,24h Change,7d Change,Market Cap,Volume,Circulating Supply
128,Amp,AMP,$0.00966,2.02%,5.11%,13.56%,"$779,818,964","$49,649,789","80,722,602,040 AMP"
129,Goatseus Maximus,GOAT,$0.7718,1.85%,4.33%,1.88%,"$771,819,376","$359,737,254","999,996,562 GOAT"
130,Grass,GRASS,$3.12,0.20%,0.94%,6.15%,"$760,217,078","$145,816,927","243,905,091 GRASS"
131,Baby Doge Coin,BabyDoge,$0.08471,0.88%,7.87%,86.18%,"$759,740,418","$279,329,982","161,290,493,233,291,424 BabyDoge"
132,Turbo,TURBO,$0.01159,0.35%,7.40%,22.92%,"$756,808,661","$261,867,651","65,300,000,000 TURBO"
133,Gnosis,GNO,$291.60,0.34%,0.07%,2.79%,"$755,133,100","$9,298,165","2,589,588 GNO"
134,ORDI,ORDI,$35.90,0.40%,3.67%,25.36%,"$753,892,108","$240,777,803","21,000,000 ORDI"
135,USDD,USDD,$0.9985,0.02%,0.11%,0.15%,"$742,320,491","$1,462,365","743,419,115 USDD"
136,Terra Classic,LUNC,$0.0001313,0.26%,4.16%,21.32%,"$723,727,401","$63,102,881","5,513,712,029,467 LUNC"
137,LayerZero,ZRO,$6.50,0.15%,4.17%,9.85%,"$714,609,080","$174,981,675","110,000,000 ZRO"
138,cat in a dogs world,MEW,$0.008037,0.48%,4.75%,13.71%,"$714,365,082","$72,855,046","88,888,888,888 MEW"
139,Neiro (First Neiro On Ethereum),NEIRO,$0.001673,0.62%,2.10%,7.91%,"$703,815,655","$334,550,615","420,682,762,796 NEIRO"
140,1inch Network,1INCH,$0.5036,0.16%,2.12%,6.74%,"$703,418,735","$133,466,342","1,396,659,805 1INCH"
141,Tether Gold,XAUt,"$2,667.02",0.05%,1.30%,1.00%,"$657,484,907","$5,396,459","246,524 XAUt"
142,Nervos Network,CKB,$0.01427,0.01%,3.78%,18.81%,"$649,906,098","$62,061,123","45,541,734,437 CKB"
143,Gigachad,GIGA,$0.06952,1.19%,2.21%,19.61%,"$646,659,765","$43,024,896","9,302,411,888 GIGA"
144,SPX6900,SPX,$0.6763,0.22%,4.53%,8.46%,"$629,617,650","$38,691,055","930,993,090 SPX"
145,Kava,KAVA,$0.5806,0.16%,3.56%,19.26%,"$628,754,689","$29,012,394","1,082,853,872 KAVA"
146,Livepeer,LPT,$16.99,0.33%,4.67%,24.13%,"$620,304,100","$77,788,622","36,502,855 LPT"
147,Kusama,KSM,$38.80,0.32%,3.33%,16.38%,"$614,629,241","$46,115,985","15,840,865 KSM"
148,Convex Finance,CVX,$6.34,0.92%,1.06%,12.55%,"$614,379,407","$91,529,610","96,888,187 CVX"
149,APENFT,NFT,$0.06593,0.13%,6.08%,10.59%,"$592,953,131","$44,320,277","999,990,000,000,000 NFT"
150,Dash,DASH,$48.51,0.19%,3.13%,20.78%,"$585,263,202","$116,909,453","12,065,690 DASH"
151,Safe,SAFE,$1.26,0.10%,6.09%,21.80%,"$582,938,280","$43,712,460","463,757,969 SAFE"
152,Creditcoin,CTC,$1.40,0.64%,2.68%,18.46%,"$578,741,127","$71,898,079","412,084,779 CTC"
153,Trust Wallet Token,TWT,$1.38,0.95%,0.08%,9.30%,"$575,326,159","$26,753,069","416,649,900 TWT"
154,Enjin Coin,ENJ,$0.3223,0.47%,3.43%,13.88%,"$574,009,244","$57,231,052","1,780,826,590 ENJ"
155,BOOK OF MEME,BOME,$0.008305,0.05%,4.70%,16.91%,"$572,664,714","$236,867,390","68,956,958,369 BOME"
156,DeXe,DEXE,$10.01,0.37%,0.07%,10.35%,"$571,891,428","$4,015,485","57,103,740 DEXE"
157,Holo,HOT,$0.00327,0.04%,3.36%,18.32%,"$571,430,363","$25,064,212","174,747,454,215 HOT"
158,SushiSwap,SUSHI,$2.17,0.33%,4.38%,30.04%,"$570,455,500","$267,021,119","262,585,277 SUSHI"
159,Astar,ASTR,$0.07484,0.24%,3.32%,17.68%,"$556,004,035","$44,000,157","7,429,173,807 ASTR"
160,Magic Eden,ME,$4.21,1.42%,10.29%,62.77%,"$552,284,605","$787,289,603","131,246,201 ME"
161,ether.fi,ETHFI,$2.65,0.09%,5.57%,15.14%,"$552,948,258","$250,325,473","209,032,899 ETHFI"
162,0x Protocol,ZRX,$0.6483,0.30%,0.02%,13.79%,"$550,054,155","$149,250,254","848,396,563 ZRX"
163,Theta Fuel,TFUEL,$0.08043,0.32%,2.53%,12.18%,"$545,016,604","$8,939,535","6,776,141,283 TFUEL"
164,WOO,WOO,$0.2922,0.11%,4.03%,19.25%,"$543,916,421","$26,605,922","1,861,546,823 WOO"
165,Zilliqa,ZIL,$0.02809,0.30%,2.71%,19.26%,"$541,307,467","$62,034,684","19,272,803,588 ZIL"
166,Act I : The AI Prophecy,ACT,$0.5608,0.28%,0.25%,4.54%,"$531,749,637","$309,217,108","948,246,434 ACT"
167,io.net,IO,$4.22,1.04%,2.07%,16.06%,"$530,531,653","$286,310,475","125,631,683 IO"
168,PAX Gold,PAXG,"$2,660.16",0.08%,0.96%,0.93%,"$527,682,956","$15,502,616","198,365 PAXG"
169,GMT,GMT,$0.2001,0.21%,4.80%,19.25%,"$524,006,854","$55,703,118","2,618,284,458 GMT"
170,Jito,JTO,$3.94,1.25%,0.21%,8.86%,"$520,030,155","$110,274,143","131,857,502 JTO"
