Coin Rank,Coin Name,Coin Code,Price,1h Change,24h Change,7d Change,Market Cap,Volume,Circulating Supply,Extraction Time
88,Movement,MOVE,$0.609,0.15%,5.91%,8.34%,"$1,370,237,229","$342,760,659","2,250,000,000 MOVE",2024-12-15 09:40:33
89,IOTA,IOTA,$0.3832,0.15%,6.52%,19.44%,"$1,362,254,450","$50,268,551","3,554,846,536 IOTA",2024-12-15 09:40:33
90,dYdX (Native),DYDX,$2.04,1.24%,4.98%,16.72%,"$1,316,758,502","$74,888,009","643,931,707 DYDX",2024-12-15 09:40:33
91,Bitcoin SV,BSV,$64.42,0.19%,3.85%,17.52%,"$1,275,440,232","$67,073,909","19,797,541 BSV",2024-12-15 09:40:33
92,MultiversX,EGLD,$45.49,0.25%,5.52%,14.87%,"$1,257,943,617","$58,673,268","27,654,822 EGLD",2024-12-15 09:40:33
93,Core,CORE,$1.36,0.19%,6.36%,10.36%,"$1,259,795,035","$67,740,874","928,953,393 CORE",2024-12-15 09:40:33
94,BitTorrent [New],BTT,$0.051286,0.31%,4.63%,17.43%,"$1,246,183,347","$32,259,853","968,246,428,571,000 BTT",2024-12-15 09:40:33
95,Neo,NEO,$17.52,0.14%,5.55%,15.45%,"$1,236,095,284","$50,922,857","70,538,831 NEO",2024-12-15 09:40:33
96,AIOZ Network,AIOZ,$1.08,0.31%,3.89%,5.04%,"$1,229,648,575","$14,800,131","1,143,594,817 AIOZ",2024-12-15 09:40:33
97,GateToken,GT,$13.28,0.54%,2.10%,1.03%,"$1,178,630,811","$9,669,954","88,721,911 GT",2024-12-15 09:40:33
98,Decentraland,MANA,$0.6065,0.75%,4.59%,17.85%,"$1,177,883,273","$128,407,648","1,942,255,184 MANA",2024-12-15 09:40:33
99,XDC Network,XDC,$0.07842,0.07%,5.98%,15.59%,"$1,171,111,707","$31,568,003","14,932,919,360 XDC",2024-12-15 09:40:33
100,Axie Infinity,AXS,$7.42,0.66%,6.06%,18.66%,"$1,156,782,630","$101,097,240","155,797,382 AXS",2024-12-15 09:40:33
101,Polygon,MATIC,$0.5887,0.24%,4.77%,14.57%,"$1,152,265,030","$5,410,248","1,957,223,946 MATIC",2024-12-15 09:40:42
102,ApeCoin,APE,$1.51,0.35%,6.17%,17.87%,"$1,138,662,094","$175,456,403","752,651,515 APE",2024-12-15 09:40:42
103,Mog Coin,MOG,$0.052894,0.48%,5.77%,20.84%,"$1,130,117,452","$35,300,331","390,567,526,433,217 MOG",2024-12-15 09:40:42
104,Peanut the Squirrel,PNUT,$1.12,0.41%,7.90%,23.51%,"$1,118,128,729","$368,660,946","999,854,823 PNUT",2024-12-15 09:40:42
105,Popcat (SOL),POPCAT,$1.08,0.80%,8.04%,28.52%,"$1,061,581,370","$118,047,668","979,973,185 POPCAT",2024-12-15 09:40:42
106,Chiliz,CHZ,$0.1087,0.54%,5.71%,15.33%,"$1,000,349,042","$127,897,218","9,206,791,217 CHZ",2024-12-15 09:40:42
107,Synthetix,SNX,$2.88,0.30%,7.34%,9.81%,"$976,801,399","$72,455,670","339,466,217 SNX",2024-12-15 09:40:42
108,EigenLayer,EIGEN,$4.63,0.71%,3.93%,2.88%,"$976,504,483","$165,967,746","210,808,570 EIGEN",2024-12-15 09:40:42
109,SuperVerse,SUPER,$1.99,0.63%,4.20%,2.23%,"$971,188,766","$31,253,701","488,035,093 SUPER",2024-12-15 09:40:42
110,Mina,MINA,$0.8014,0.64%,7.88%,13.01%,"$956,884,911","$120,937,127","1,194,085,495 MINA",2024-12-15 09:40:42
111,Pendle,PENDLE,$5.79,0.29%,2.83%,13.38%,"$954,020,250","$45,785,345","164,772,299 PENDLE",2024-12-15 09:40:42
112,Conflux,CFX,$0.2018,0.56%,6.15%,19.15%,"$953,730,191","$81,354,002","4,725,501,908 CFX",2024-12-15 09:40:42
113,Nexo,NEXO,$1.46,0.64%,0.25%,2.56%,"$940,528,904","$8,168,601","646,145,840 NEXO",2024-12-15 09:40:42
114,Zcash,ZEC,$57.26,1.38%,4.48%,17.64%,"$934,897,358","$122,389,647","16,328,269 ZEC",2024-12-15 09:40:42
115,Compound,COMP,$104.90,0.03%,5.32%,12.29%,"$928,263,274","$78,576,951","8,848,695 COMP",2024-12-15 09:40:42
116,Akash Network,AKT,$3.72,0.39%,6.10%,17.17%,"$922,979,011","$10,371,965","248,285,795 AKT",2024-12-15 09:40:42
117,PancakeSwap,CAKE,$3.17,0.22%,7.10%,22.10%,"$917,229,505","$130,957,368","288,918,729 CAKE",2024-12-15 09:40:42
118,FTX Token,FTT,$2.82,3.69%,2.10%,14.72%,"$927,571,429","$32,070,094","328,895,104 FTT",2024-12-15 09:40:42
119,Wormhole,W,$0.3188,0.30%,3.18%,16.18%,"$884,129,214","$121,883,443","2,773,552,635 W",2024-12-15 09:40:42
120,eCash,XEC,$0.00004293,0.35%,5.52%,19.14%,"$849,853,334","$44,610,474","19,797,898,422,584 XEC",2024-12-15 09:40:42
121,Amp,AMP,$0.01012,0.90%,4.98%,5.52%,"$817,300,624","$163,590,541","80,722,602,040 AMP",2024-12-15 09:40:42
122,ZKsync,ZK,$0.2192,0.18%,6.11%,12.68%,"$805,705,523","$93,633,441","3,675,000,000 ZK",2024-12-15 09:40:42
123,Notcoin,NOT,$0.007784,0.39%,4.99%,19.77%,"$797,536,310","$110,960,572","102,456,957,534 NOT",2024-12-15 09:40:42
124,Ronin,RON,$2.11,0.14%,6.06%,6.02%,"$781,648,318","$23,135,956","370,204,834 RON",2024-12-15 09:40:42
125,Blur,BLUR,$0.3767,0.08%,11.98%,7.11%,"$780,597,330","$168,509,679","2,072,247,662 BLUR",2024-12-15 09:40:42
