Coin Rank,Coin Name,Coin Code,Price,1h Change,24h Change,7d Change,Market Cap,Volume,Circulating Supply
Popcat (SOL),POPCAT,$1.22,0.27%,0.29%,14.49%,"$1,197,771,395","$119,326,630","979,973,185 POPCAT"
GateToken,GT,$12.96,0.74%,3.72%,0.05%,"$1,149,675,922","$16,761,526","88,719,999 GT"
Chiliz,CHZ,$0.1141,0.03%,1.26%,13.01%,"$1,050,807,707","$166,656,321","9,206,791,217 CHZ"
Synthetix,SNX,$3.09,0.09%,0.96%,5.57%,"$1,040,449,704","$70,383,511","336,819,847 SNX"
EigenLayer,EIGEN,$4.91,0.10%,0.12%,0.14%,"$1,035,478,930","$241,651,256","210,808,570 EIGEN"
SuperVerse,SUPER,$2.06,0.77%,0.35%,11.38%,"$1,006,390,080","$42,707,453","488,035,093 SUPER"
Conflux,CFX,$0.2128,0.47%,0.97%,14.84%,"$1,005,531,920","$104,358,010","4,724,955,428 CFX"
PancakeSwap,CAKE,$3.47,0.99%,0.55%,15.71%,"$1,002,916,493","$138,635,037","288,756,746 CAKE"
Pendle,PENDLE,$5.93,0.20%,0.31%,14.77%,"$977,439,198","$75,211,157","164,718,458 PENDLE"
Compound,COMP,$110.06,1.00%,1.72%,8.26%,"$973,899,595","$111,603,313","8,848,490 COMP"
Akash Network,AKT,$3.90,0.34%,1.61%,18.22%,"$967,464,889","$14,510,442","248,285,795 AKT"
Nexo,NEXO,$1.49,0.34%,0.99%,3.57%,"$965,228,445","$8,256,081","646,145,840 NEXO"
Mina,MINA,$0.8074,0.86%,1.21%,15.95%,"$963,623,052","$88,559,249","1,193,474,927 MINA"
Zcash,ZEC,$59.13,0.30%,0.05%,16.26%,"$965,471,778","$131,697,944","16,328,269 ZEC"
FTX Token,FTT,$2.86,0.49%,6.74%,16.99%,"$941,627,487","$50,492,906","328,895,104 FTT"
Wormhole,W,$0.325,0.74%,1.52%,18.99%,"$900,405,892","$96,471,212","2,770,639,142 W"
eCash,XEC,$0.00004477,0.27%,0.28%,18.57%,"$886,242,515","$45,341,135","19,797,292,172,584 XEC"
ZKsync,ZK,$0.2307,0.75%,0.12%,11.77%,"$847,914,253","$114,950,766","3,675,000,000 ZK"
Notcoin,NOT,$0.008198,0.49%,1.41%,16.67%,"$839,940,106","$161,594,825","102,456,957,534 NOT"
Axelar,AXL,$0.9427,0.97%,0.97%,13.63%,"$822,066,114","$32,671,744","871,992,060 AXL"
Ronin,RON,$2.18,0.07%,2.40%,8.39%,"$805,735,267","$98,142,490","370,044,117 RON"
Oasis,ROSE,$0.1131,0.80%,0.24%,19.01%,"$798,801,370","$83,065,772","7,064,132,681 ROSE"
Reserve Rights,RSR,$0.01492,1.47%,3.46%,14.45%,"$798,055,272","$91,169,532","53,473,336,211 RSR"
Goatseus Maximus,GOAT,$0.7946,3.32%,10.61%,1.24%,"$794,599,866","$355,068,893","999,996,562 GOAT"
Blur,BLUR,$0.3808,0.69%,0.54%,13.52%,"$787,973,026","$123,133,095","2,068,941,110 BLUR"
Amp,AMP,$0.009616,1.02%,1.93%,13.66%,"$776,240,558","$46,965,562","80,722,602,040 AMP"
Baby Doge Coin,BabyDoge,$0.084725,0.80%,5.22%,88.69%,"$762,308,796","$267,179,141","161,290,493,233,291,424 BabyDoge"
Turbo,TURBO,$0.01165,0.71%,4.34%,21.55%,"$761,068,755","$251,614,868","65,300,000,000 TURBO"
ORDI,ORDI,$36.29,1.13%,0.99%,24.64%,"$762,184,203","$226,071,909","21,000,000 ORDI"
Grass,GRASS,$3.08,0.51%,1.91%,5.42%,"$752,271,848","$144,186,906","243,905,091 GRASS"
Gnosis,GNO,$290.44,0.33%,1.82%,3.43%,"$752,124,293","$9,208,795","2,589,588 GNO"
USDD,USDD,$0.9988,0.15%,0.07%,0.16%,"$742,546,289","$1,453,573","743,426,438 USDD"
Terra Classic,LUNC,$0.000133,0.87%,0.82%,20.75%,"$733,061,257","$58,322,874","5,513,645,030,869 LUNC"
LayerZero,ZRO,$6.54,0.84%,0.98%,8.97%,"$719,548,564","$168,765,043","110,000,000 ZRO"
cat in a dogs world,MEW,$0.008076,0.48%,1.41%,13.51%,"$717,832,972","$69,834,173","88,888,888,888 MEW"
Neiro (First Neiro On Ethereum),NEIRO,$0.001689,0.65%,1.27%,6.38%,"$710,693,108","$310,914,423","420,682,762,796 NEIRO"
1inch Network,1INCH,$0.5064,0.29%,0.92%,6.55%,"$707,285,079","$126,871,162","1,396,659,805 1INCH"
Gigachad,GIGA,$0.07173,3.23%,10.56%,23.30%,"$667,285,896","$44,268,818","9,302,411,888 GIGA"
Tether Gold,XAUt,"$2,666.00",0.04%,1.30%,1.00%,"$657,232,263","$5,380,609","246,524 XAUt"
Nervos Network,CKB,$0.01433,0.44%,0.26%,18.22%,"$652,401,279","$59,482,708","45,541,854,447 CKB"
